original_row_index,target_date,latitude,longitude,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR
4380,2019-11-12,54.901,23.415,3.75,6.48,0.88,94.93,0.15
4380,2019-10-27,55.219,21.272,,,,,
4380,2019-11-19,55.668,21.625,5.83,8.46,4.36,95.47,0.57
4380,2019-11-24,54.811,23.629,-2.05,0.42,-3.03,81.48,0.2
4380,2019-11-07,55.744,21.59,5.29,7.53,2.97,94.96,1.01
4381,2019-11-17,54.108,24.314,7.24,9.69,5.56,96.75,0.35
4381,2019-11-19,54.773,22.951,6.12,9.26,3.47,93.86,0.37
4381,2019-11-21,54.987,23.56,2.75,4.61,-0.21,79.76,0.2
4381,2019-11-12,55.667,21.225,4.97,7.07,2.58,94.6,1.56
4381,2019-11-28,56.101,24.297,0.91,1.67,0.59,97.73,1.24
4382,2019-10-31,56.126,21.862,3.67,7.47,-0.32,94.41,2.53
4382,2019-11-03,55.731,23.872,6.53,8.25,3.82,98.16,2.88
4382,2019-11-09,54.838,22.837,7.22,9.61,5.52,95.06,0.39
4382,2019-11-25,55.14,23.578,-1.69,0.12,-2.66,85.83,0.25
4382,2019-11-01,54.083,23.786,2.6,6.94,-0.45,91.38,0.44
4383,2019-12-03,55.385,25.183,-2.64,0.1,-4.1,95.8,0.12
4383,2019-11-14,55.423,25.791,8.1,9.71,6.19,96.29,11.95
4383,2019-11-14,55.897,24.907,8.28,10.35,4.89,96.14,5.12
4383,2019-11-22,55.225,24.455,-2.06,-0.14,-3.4,65.99,0.04
4383,2019-11-16,54.083,23.786,5.7,8.45,2.69,96.73,0.22
4384,2019-11-28,55.385,25.183,0.6,1.4,0.13,97.51,1.39
4384,2019-11-22,56.098,24.839,-2.64,-1.02,-4.25,70.14,0.08
4384,2019-11-28,55.707,21.301,4.2,5.27,2.75,98.08,2.23
4384,2019-11-19,55.812,24.696,4.16,5.31,3.16,95.89,0.38
4384,2019-11-10,55.707,21.301,8.04,9.1,6.74,92.88,1.1
4385,2019-11-20,55.27,24.106,4.79,6.14,3.11,93.53,0.29
4385,2019-11-13,55.005,24.829,8.93,11.5,5.33,89.98,5.83
4385,2019-11-25,55.424,22.147,-1.59,-0.24,-2.74,92.31,0.28
4385,2019-11-23,56.259,21.93,-2.42,-1.1,-3.28,73.77,0.02
4385,2019-10-25,56.198,22.356,,,,,
4386,2019-11-27,54.851,23.156,0.45,1.16,-0.37,96.6,0.4
4386,2019-11-13,55.696,22.812,8.21,9.56,5.3,97.02,21.63
4386,2019-11-23,55.474,22.478,-2.79,-1.15,-4.39,73.25,0.05
4386,2019-11-26,56.14,21.421,0.42,1.51,-0.48,95.93,0.47
4386,2019-11-14,56.109,22.025,6.99,9.12,2.39,93.83,1.65
4387,2019-11-05,54.838,22.837,9.31,11.16,6.94,93.01,0.84
4387,2019-11-01,54.194,23.821,2.6,6.94,-0.45,91.38,0.44
4387,2019-11-04,55.694,22.113,9.32,10.8,7.46,98.29,17.19
4387,2019-11-06,54.35,24.421,7.47,8.96,6.66,95.33,2.47
4387,2019-12-10,55.958,21.462,3.0,5.34,-0.61,90.07,1.19
4388,2019-10-28,55.07,24.041,,,,,
4388,2019-11-19,54.172,24.108,5.87,8.49,3.84,95.22,0.5
4388,2019-11-06,55.327,22.083,5.86,6.43,5.37,95.99,5.08
4388,2019-11-18,56.098,21.907,7.12,8.69,4.44,95.58,0.36
4388,2019-11-14,55.919,23.373,7.38,9.87,2.54,95.07,0.73
4389,2019-11-16,55.448,25.946,4.52,7.0,2.01,95.98,0.38
4389,2019-11-21,55.667,21.225,4.92,6.4,3.04,84.92,0.16
4389,2019-11-08,56.165,21.469,5.71,7.49,3.9,96.16,0.31
4389,2019-11-16,55.774,21.359,6.37,8.41,4.37,95.83,0.91
4389,2019-11-22,54.758,24.984,-2.86,-0.89,-3.99,66.87,0.1
4390,2019-11-14,55.961,22.171,6.99,9.12,2.39,93.83,1.65
4390,2019-11-16,54.828,23.242,5.49,7.71,2.7,96.92,0.16
4390,2019-11-29,54.878,25.506,1.24,2.26,0.37,98.78,2.32
4390,2019-11-24,55.1,24.304,-2.29,-0.38,-3.2,78.02,0.37
4390,2019-10-21,55.667,21.225,,,,,
4391,2019-11-11,56.14,21.421,5.56,7.8,3.53,90.83,0.71
4391,2019-11-10,55.834,24.953,7.13,8.25,5.5,98.08,1.88
4391,2019-11-02,55.251,21.385,4.82,7.84,3.06,91.85,7.15
4391,2019-11-16,55.327,22.083,5.56,7.55,3.26,97.19,0.7
4391,2019-11-10,54.971,23.359,6.53,7.47,5.53,95.94,0.38
4392,2019-11-13,56.165,21.469,7.58,9.16,5.87,97.28,9.24
4392,2019-12-12,55.251,21.385,-0.1,1.16,-1.77,92.35,0.32
4392,2019-11-11,55.937,22.677,3.93,6.46,2.38,96.7,0.32
4392,2019-11-01,54.901,23.415,4.11,6.85,0.81,96.51,0.45
4392,2019-11-22,54.643,25.08,-3.05,-0.87,-4.43,67.28,0.12
4393,2019-11-11,56.25,21.991,4.4,6.81,2.52,95.51,0.49
4393,2019-11-12,54.828,23.242,3.75,6.48,0.88,94.93,0.15
4393,2019-11-13,55.27,24.106,8.6,10.35,5.46,93.58,5.87
4393,2019-11-11,55.972,25.213,3.97,5.47,1.48,98.19,1.29
4393,2019-11-06,55.895,22.572,4.95,5.83,3.81,97.67,4.26
4394,2019-12-20,54.588,23.439,1.13,2.87,-0.99,97.19,0.37
4394,2019-12-05,54.971,23.359,0.78,2.65,-2.44,95.8,0.25
4394,2019-12-16,55.765,22.835,2.57,4.33,0.9,94.74,2.24
4394,2019-11-27,54.418,24.05,0.24,1.01,-0.79,96.61,0.51
4394,2019-12-02,55.319,22.536,-0.95,0.33,-5.07,98.17,6.44
4395,2019-12-13,55.219,21.272,0.7,1.98,-0.91,93.76,2.7
4395,2020-01-08,55.897,24.907,0.2,2.95,-1.84,96.66,4.05
4395,2019-11-25,56.245,22.078,-1.67,-0.31,-2.97,91.66,0.28
4395,2019-12-21,55.432,21.37,4.21,6.18,2.76,97.59,1.04
4395,2019-12-18,54.99,25.152,3.83,6.47,2.16,94.78,0.22
4396,2019-12-10,55.956,24.745,1.46,3.39,-3.63,98.87,1.69
4396,2019-12-05,55.823,23.892,2.15,3.22,0.31,98.04,0.51
4396,2019-11-25,55.694,22.113,-1.59,-0.24,-2.74,92.31,0.28
4396,2019-12-17,56.207,21.561,4.69,5.57,3.86,97.04,1.14
4396,2019-12-12,56.14,21.421,-0.33,1.21,-2.05,93.93,0.38
4397,2019-12-18,54.996,25.347,2.6,4.12,0.75,96.8,0.19
4397,2019-11-29,54.851,23.156,3.23,6.89,1.31,96.98,1.89
4397,2019-11-15,54.418,24.05,5.31,6.65,3.85,95.99,5.45
4397,2019-12-12,55.296,22.31,-2.03,0.26,-4.67,95.62,0.46
4397,2019-12-15,54.544,25.503,0.51,1.75,-0.6,97.34,2.71
4398,2019-12-06,56.101,24.297,-0.75,0.56,-2.48,93.78,1.59
4398,2019-12-16,54.961,24.772,1.56,3.21,0.35,98.21,0.4
4398,2019-12-14,55.84,24.51,0.33,1.08,-0.38,93.27,2.27
4398,2019-12-24,55.329,24.057,3.64,5.03,3.07,97.76,5.19
4398,2019-11-28,55.99,22.663,1.61,2.54,0.44,98.31,1.8
4399,2019-12-14,55.0,24.876,0.13,0.6,-0.43,92.53,4.12
4399,2019-12-21,54.083,23.786,3.4,5.44,1.82,98.01,0.22
4399,2019-12-05,54.083,23.786,-0.39,1.6,-2.78,94.32,0.11
4399,2019-11-22,55.956,24.745,-2.64,-1.02,-4.25,70.14,0.08
4399,2019-12-13,55.317,22.294,-0.15,1.26,-1.8,94.61,1.47
4400,2019-11-24,55.783,24.624,-2.44,-0.58,-3.42,83.34,0.16
4400,2019-12-01,55.271,21.409,2.27,4.21,0.18,81.15,1.93
4400,2019-10-27,54.284,24.612,,,,,
4400,2019-11-15,55.27,24.106,5.22,6.8,3.94,96.87,4.04
4400,2019-11-22,55.972,25.213,-2.64,-1.02,-4.25,70.14,0.08
4401,2019-11-28,54.773,22.951,1.75,2.82,0.63,97.97,1.52
4401,2019-11-07,56.32,23.547,4.75,6.6,3.27,98.26,0.99
4401,2019-11-13,55.83,22.899,7.6,9.51,4.45,97.26,15.02
4401,2019-11-27,55.383,25.832,-0.93,0.25,-2.13,97.06,0.53
4401,2019-11-13,55.929,22.441,7.57,9.34,4.6,97.69,17.18
4402,2019-12-07,56.25,21.991,3.69,5.54,2.12,95.37,6.88
4402,2019-11-26,54.838,22.837,-0.91,0.96,-2.14,93.75,0.36
4402,2019-12-07,56.005,22.573,2.19,4.58,0.35,96.23,5.7
4402,2019-11-18,55.42,22.352,7.07,8.46,3.62,95.17,0.34
4402,2019-11-17,55.885,21.682,6.05,8.16,4.71,96.96,0.15
4403,2019-12-14,55.929,22.441,0.3,1.14,-0.22,95.25,1.84
4403,2019-11-08,55.402,22.587,4.9,6.52,3.66,96.45,0.39
4403,2019-12-14,55.972,22.118,0.61,1.34,0.24,95.25,1.8
4403,2019-12-06,54.992,23.156,-1.2,0.64,-3.28,91.78,3.09
4403,2019-12-01,55.193,22.484,-1.28,1.53,-3.64,94.68,0.84
4404,2019-10-18,54.797,23.525,,,,,
4404,2019-12-05,55.07,24.041,0.72,2.17,-2.32,96.22,0.27
4404,2019-11-27,55.42,22.352,0.03,0.65,-0.82,97.74,0.78
4404,2019-11-18,56.248,22.263,6.84,8.41,3.77,96.21,0.37
4404,2019-12-19,55.774,21.359,4.25,6.04,0.83,91.91,0.18
4405,2019-12-14,55.364,25.18,0.13,0.59,-0.15,92.14,3.46
4405,2019-11-29,55.271,21.409,5.73,8.07,3.62,92.0,5.71
4405,2019-12-20,55.812,24.696,0.45,1.8,-1.34,96.72,0.29
4405,2019-11-22,55.834,24.953,-2.64,-1.02,-4.25,70.14,0.08
4405,2019-12-04,55.754,22.878,1.76,3.56,-1.38,98.98,1.14
4406,2019-11-16,54.329,23.895,5.56,7.85,3.05,96.63,0.2
4406,2019-12-17,55.834,24.953,1.66,2.33,1.04,99.35,4.12
4406,2019-11-17,55.32,21.653,6.2,8.26,4.52,97.16,0.15
4406,2019-11-29,54.929,23.996,2.24,5.42,0.84,98.94,1.59
4406,2019-12-08,55.909,25.292,1.71,3.28,0.47,98.38,5.3
4407,2019-12-02,55.402,22.587,-0.95,0.33,-5.07,98.17,6.44
4407,2019-11-20,55.707,21.301,6.05,6.7,4.72,95.39,0.29
4407,2019-11-28,54.284,24.612,0.7,1.22,-0.07,97.62,1.64
4407,2019-11-21,56.003,23.648,1.93,3.73,-0.55,83.92,0.19
4407,2019-11-13,55.696,22.812,8.21,9.56,5.3,97.02,21.63
4408,2019-11-23,54.741,24.742,-3.31,-1.55,-5.05,68.72,0.34
4408,2019-11-28,55.424,22.147,2.36,3.48,0.99,98.58,2.12
4408,2019-11-08,56.098,24.839,4.86,6.63,3.02,97.1,0.49
4408,2019-11-28,54.649,25.718,-0.21,0.9,-1.37,95.95,2.24
4408,2019-11-27,54.987,24.263,0.0,1.01,-1.13,97.07,0.48
4409,2019-12-08,54.607,25.067,1.76,3.0,0.84,98.36,1.74
4409,2019-12-02,56.298,22.949,-0.98,0.29,-2.81,97.3,1.48
4409,2019-11-30,55.757,24.929,-0.8,0.95,-2.92,92.95,1.63
4409,2019-12-18,55.909,25.292,3.39,6.12,1.61,94.5,0.68
4409,2019-11-25,54.961,24.772,-3.11,-1.07,-4.02,85.86,0.22
4410,2019-11-10,55.423,25.791,7.14,8.6,4.75,98.36,7.51
4410,2019-12-06,54.992,23.156,-1.2,0.64,-3.28,91.78,3.09
4410,2019-12-25,54.108,24.314,3.48,4.34,2.49,97.02,2.81
4410,2019-11-30,56.173,23.032,-1.15,1.52,-2.77,93.69,0.43
4410,2019-12-06,55.694,22.113,0.69,2.43,-1.38,96.28,3.01
4411,2020-01-03,55.867,21.527,4.37,5.72,2.93,93.22,4.7
4411,2020-01-05,56.165,21.469,1.49,2.91,-0.94,82.97,0.76
4411,2019-12-08,54.607,25.067,1.76,3.0,0.84,98.36,1.74
4411,2019-12-30,54.996,25.347,-0.51,1.13,-2.63,86.78,1.03
4411,2019-12-11,55.412,22.591,-2.95,-0.88,-4.42,96.37,0.04
4412,2019-11-30,55.83,22.899,-1.15,1.52,-2.77,93.69,0.43
4412,2019-12-08,54.473,25.23,1.76,3.0,0.84,98.36,1.74
4412,2019-12-21,55.338,22.093,3.17,5.31,1.8,97.92,0.97
4412,2019-12-23,54.878,25.506,2.42,4.13,0.71,97.33,0.41
4412,2019-12-30,56.047,23.315,2.19,4.79,-0.17,92.26,2.14
4413,2019-11-27,56.098,24.839,-0.74,0.74,-2.47,96.88,0.41
4413,2019-11-28,54.735,22.934,1.8,2.72,0.73,98.12,1.28
4413,2019-12-30,56.217,23.3,2.19,4.79,-0.17,92.26,2.14
4413,2019-12-03,56.173,23.032,-2.36,0.55,-4.72,95.66,0.19
4413,2019-11-28,55.483,22.423,1.83,2.69,0.74,98.67,1.94
4414,2019-12-28,54.901,23.415,-2.37,0.29,-4.77,88.4,0.04
4414,2019-11-28,56.047,23.315,1.16,1.91,0.44,98.19,1.43
4414,2019-12-13,55.251,21.385,1.37,2.36,0.33,93.11,2.4
4414,2019-12-24,56.089,22.489,3.5,4.09,2.91,97.49,4.14
4414,2019-12-10,55.837,22.531,0.63,3.95,-4.15,97.08,1.41
4415,2019-12-05,56.198,22.356,3.35,4.24,1.89,96.33,0.54
4415,2019-12-10,55.412,22.591,0.93,3.72,-3.79,97.34,1.76
4415,2019-11-25,55.251,21.385,0.08,0.81,-0.66,93.52,0.38
4415,2019-12-10,54.682,23.439,1.63,3.2,-2.47,96.91,0.67
4415,2019-11-18,54.172,24.108,6.81,9.76,2.69,91.14,0.2
4416,2019-12-09,54.607,25.067,2.81,4.07,1.7,98.83,0.58
4416,2019-12-13,54.536,23.405,0.24,1.39,-0.42,93.24,0.69
4416,2019-12-07,55.851,23.69,0.93,2.94,0.13,96.83,7.25
4416,2019-12-04,55.005,24.829,-0.22,1.87,-3.12,98.38,1.87
4416,2019-11-05,54.269,23.87,9.13,10.6,7.43,93.66,1.02
4417,2019-11-15,55.474,22.478,4.65,6.42,3.14,96.7,3.92
4417,2019-11-01,54.971,23.359,4.11,6.85,0.81,96.51,0.45
4417,2019-11-20,55.001,25.469,4.3,6.25,0.62,94.22,0.31
4417,2019-11-22,55.385,25.183,-2.67,-0.88,-4.07,67.62,0.07
4417,2019-11-23,56.134,21.787,-2.41,-0.97,-3.67,75.16,0.01
4418,2019-11-10,56.003,23.648,6.78,8.11,5.47,96.65,0.41
4418,2019-11-20,55.296,22.31,4.74,5.41,3.22,94.42,0.31
4418,2019-11-14,55.401,25.712,8.1,9.71,6.19,96.29,11.95
4418,2019-12-05,54.735,22.934,0.34,1.92,-2.12,93.9,0.13
4418,2019-12-15,56.257,22.293,1.31,3.56,-0.21,96.61,3.09
4419,2019-12-12,54.269,23.87,-1.14,0.71,-4.51,94.17,0.55
4419,2019-12-04,55.696,22.812,2.35,3.97,-1.58,98.99,1.76
4419,2019-12-03,55.474,22.478,-1.97,1.33,-4.8,96.26,0.42
4419,2019-10-31,56.165,21.469,5.86,8.78,2.61,89.21,3.15
4419,2019-11-13,56.245,24.571,7.84,9.64,4.63,95.91,5.09
4420,2019-11-17,54.557,25.157,7.13,8.27,5.72,96.77,0.36
4420,2019-11-16,56.207,21.561,6.37,8.41,4.37,95.83,0.91
4420,2019-11-08,55.817,23.579,4.7,6.56,3.49,96.65,0.47
4420,2019-12-07,54.588,23.439,0.87,2.73,0.03,92.52,5.44
4420,2019-11-21,55.276,23.586,2.19,3.88,-0.59,83.52,0.24
4421,2019-12-07,55.696,22.812,1.48,3.83,0.11,96.37,7.81
4421,2019-12-08,55.919,23.373,2.89,5.06,-0.4,95.65,3.69
4421,2019-11-24,56.101,24.297,-2.44,-0.58,-3.42,83.34,0.16
4421,2019-12-01,56.298,22.949,-1.14,0.56,-3.3,88.52,0.62
4421,2019-11-08,55.462,25.79,4.72,6.52,3.47,97.5,0.61
4422,2019-11-07,54.606,23.544,4.83,6.69,2.96,95.81,0.59
4422,2019-12-04,54.35,24.421,0.23,2.31,-2.63,96.72,2.17
4422,2019-11-23,55.276,23.586,-3.03,-1.61,-4.85,71.5,0.09
4422,2019-11-16,55.005,24.829,5.55,7.29,3.28,95.59,0.27
4422,2019-11-15,55.145,23.856,5.47,7.03,4.25,96.58,4.33
4423,2019-11-25,55.474,22.478,-1.86,-0.43,-2.9,91.38,0.29
4423,2019-11-22,55.03,23.922,-1.5,0.35,-3.1,67.14,0.04
