sample_id,source_dataset,crop_type,location_country,location_continent,timestamp,sample_year,toxin_name,toxin_value_raw,toxin_unit,toxin_value_standardized_ug_kg,toxin_detected,fungal_species,association_type,original_metadata
MOCK_000,PureGrain Mock Dataset 2024,Wheat,Italy,Europe,2018-06-15,2018,Aflatoxins,,ug/kg,,False,,Reported,"{""scenario"": ""green"", ""threshold_ug_kg"": 4.0}"
MOCK_001,PureGrain Mock Dataset 2024,Rye,Italy,Europe,2021-06-15,2021,Zearalenone,,ug/kg,,False,,Reported,"{""scenario"": ""green"", ""threshold_ug_kg"": 100.0}"
MOCK_002,PureGrain Mock Dataset 2024,Maize,Spain,Europe,2023-06-15,2023,Deoxynivalenol,686.25,ug/kg,686.25,True,Fusarium culmorum,Reported,"{""scenario"": ""orange"", ""threshold_ug_kg"": 1250.0}"
MOCK_003,PureGrain Mock Dataset 2024,Oats,Lithuania,Europe,2022-06-15,2022,Deoxynivalenol,934.43,ug/kg,934.43,True,Fusarium culmorum,Reported,"{""scenario"": ""orange"", ""threshold_ug_kg"": 1250.0}"
MOCK_004,PureGrain Mock Dataset 2024,Maize,France,Europe,2020-06-15,2020,Fumonisins,,ug/kg,,False,,Reported,"{""scenario"": ""green"", ""threshold_ug_kg"": 4000.0}"
MOCK_005,PureGrain Mock Dataset 2024,Barley,Romania,Europe,2016-06-15,2016,Zearalenone,38.72,ug/kg,38.72,True,Fusarium graminearum,Reported,"{""scenario"": ""orange"", ""threshold_ug_kg"": 100.0}"
MOCK_006,PureGrain Mock Dataset 2024,Rye,Denmark,Europe,2015-06-15,2015,Aflatoxins,8.29,ug/kg,8.29,True,Aspergillus flavus,Reported,"{""scenario"": ""red"", ""threshold_ug_kg"": 4.0}"
MOCK_007,PureGrain Mock Dataset 2024,Wheat,Sweden,Europe,2019-06-15,2019,Ochratoxin A,6.71,ug/kg,6.71,True,Aspergillus ochraceus,Reported,"{""scenario"": ""red"", ""threshold_ug_kg"": 3.0}"
MOCK_008,PureGrain Mock Dataset 2024,Rye,Denmark,Europe,2016-06-15,2016,Deoxynivalenol,,ug/kg,,False,,Reported,"{""scenario"": ""green"", ""threshold_ug_kg"": 1250.0}"
MOCK_009,PureGrain Mock Dataset 2024,Barley,Czech Republic,Europe,2018-06-15,2018,Zearalenone,176.03,ug/kg,176.03,True,Fusarium graminearum,Reported,"{""scenario"": ""red"", ""threshold_ug_kg"": 100.0}"
MOCK_010,PureGrain Mock Dataset 2024,Barley,Greece,Europe,2020-06-15,2020,Deoxynivalenol,795.18,ug/kg,795.18,True,Fusarium culmorum,Reported,"{""scenario"": ""orange"", ""threshold_ug_kg"": 1250.0}"
MOCK_011,PureGrain Mock Dataset 2024,Rye,Spain,Europe,2023-06-15,2023,Deoxynivalenol,1658.51,ug/kg,1658.51,True,Fusarium culmorum,Reported,"{""scenario"": ""red"", ""threshold_ug_kg"": 1250.0}"
MOCK_012,PureGrain Mock Dataset 2024,Barley,Sweden,Europe,2018-06-15,2018,Ochratoxin A,2.32,ug/kg,2.32,True,Aspergillus ochraceus,Reported,"{""scenario"": ""orange"", ""threshold_ug_kg"": 3.0}"
MOCK_013,PureGrain Mock Dataset 2024,Maize,Germany,Europe,2020-06-15,2020,Zearalenone,15.3,ug/kg,15.3,True,Fusarium graminearum,Reported,"{""scenario"": ""orange"", ""threshold_ug_kg"": 100.0}"
MOCK_014,PureGrain Mock Dataset 2024,Barley,Estonia,Europe,2022-06-15,2022,Deoxynivalenol,1039.55,ug/kg,1039.55,True,Fusarium culmorum,Reported,"{""scenario"": ""orange"", ""threshold_ug_kg"": 1250.0}"
MOCK_015,PureGrain Mock Dataset 2024,Maize,Greece,Europe,2017-06-15,2017,Aflatoxins,,ug/kg,,False,,Reported,"{""scenario"": ""green"", ""threshold_ug_kg"": 4.0}"
MOCK_016,PureGrain Mock Dataset 2024,Rye,Lithuania,Europe,2021-06-15,2021,Aflatoxins,7.2,ug/kg,7.2,True,Aspergillus flavus,Reported,"{""scenario"": ""red"", ""threshold_ug_kg"": 4.0}"
MOCK_017,PureGrain Mock Dataset 2024,Maize,Czech Republic,Europe,2022-06-15,2022,Ochratoxin A,,ug/kg,,False,,Reported,"{""scenario"": ""green"", ""threshold_ug_kg"": 3.0}"
MOCK_018,PureGrain Mock Dataset 2024,Wheat,Germany,Europe,2017-06-15,2017,Deoxynivalenol,2305.4,ug/kg,2305.4,True,Fusarium culmorum,Reported,"{""scenario"": ""red"", ""threshold_ug_kg"": 1250.0}"
MOCK_019,PureGrain Mock Dataset 2024,Oats,Spain,Europe,2022-06-15,2022,Fumonisins,3507.45,ug/kg,3507.45,True,Fusarium verticillioides,Reported,"{""scenario"": ""orange"", ""threshold_ug_kg"": 4000.0}"
MOCK_020,PureGrain Mock Dataset 2024,Wheat,France,Europe,2019-06-15,2019,Ochratoxin A,5.04,ug/kg,5.04,True,Aspergillus ochraceus,Reported,"{""scenario"": ""red"", ""threshold_ug_kg"": 3.0}"
MOCK_021,PureGrain Mock Dataset 2024,Oats,Belgium,Europe,2022-06-15,2022,Deoxynivalenol,,ug/kg,,False,,Reported,"{""scenario"": ""green"", ""threshold_ug_kg"": 1250.0}"
MOCK_022,PureGrain Mock Dataset 2024,Rye,Netherlands,Europe,2023-06-15,2023,Deoxynivalenol,3426.3,ug/kg,3426.3,True,Fusarium culmorum,Reported,"{""scenario"": ""red"", ""threshold_ug_kg"": 1250.0}"
MOCK_023,PureGrain Mock Dataset 2024,Rye,Belgium,Europe,2018-06-15,2018,Ochratoxin A,,ug/kg,,False,,Reported,"{""scenario"": ""green"", ""threshold_ug_kg"": 3.0}"
MOCK_024,PureGrain Mock Dataset 2024,Rye,Hungary,Europe,2015-06-15,2015,Ochratoxin A,1.47,ug/kg,1.47,True,Aspergillus ochraceus,Reported,"{""scenario"": ""orange"", ""threshold_ug_kg"": 3.0}"
MOCK_025,PureGrain Mock Dataset 2024,Barley,Italy,Europe,2018-06-15,2018,Aflatoxins,,ug/kg,,False,,Reported,"{""scenario"": ""green"", ""threshold_ug_kg"": 4.0}"
MOCK_026,PureGrain Mock Dataset 2024,Wheat,Estonia,Europe,2022-06-15,2022,Zearalenone,295.6,ug/kg,295.6,True,Fusarium graminearum,Reported,"{""scenario"": ""red"", ""threshold_ug_kg"": 100.0}"
MOCK_027,PureGrain Mock Dataset 2024,Maize,Lithuania,Europe,2022-06-15,2022,Deoxynivalenol,1662.82,ug/kg,1662.82,True,Fusarium culmorum,Reported,"{""scenario"": ""red"", ""threshold_ug_kg"": 1250.0}"
MOCK_028,PureGrain Mock Dataset 2024,Rye,Slovakia,Europe,2018-06-15,2018,Fumonisins,10042.12,ug/kg,10042.12,True,Fusarium verticillioides,Reported,"{""scenario"": ""red"", ""threshold_ug_kg"": 4000.0}"
MOCK_029,PureGrain Mock Dataset 2024,Barley,Romania,Europe,2020-06-15,2020,Fumonisins,2056.24,ug/kg,2056.24,True,Fusarium verticillioides,Reported,"{""scenario"": ""orange"", ""threshold_ug_kg"": 4000.0}"
MOCK_030,PureGrain Mock Dataset 2024,Maize,Italy,Europe,2016-06-15,2016,Deoxynivalenol,,ug/kg,,False,,Reported,"{""scenario"": ""green"", ""threshold_ug_kg"": 1250.0}"
MOCK_031,PureGrain Mock Dataset 2024,Rye,Estonia,Europe,2018-06-15,2018,Deoxynivalenol,,ug/kg,,False,,Reported,"{""scenario"": ""green"", ""threshold_ug_kg"": 1250.0}"
MOCK_032,PureGrain Mock Dataset 2024,Maize,Germany,Europe,2015-06-15,2015,Zearalenone,114.17,ug/kg,114.17,True,Fusarium graminearum,Reported,"{""scenario"": ""red"", ""threshold_ug_kg"": 100.0}"
MOCK_033,PureGrain Mock Dataset 2024,Barley,Czech Republic,Europe,2018-06-15,2018,Fumonisins,2714.73,ug/kg,2714.73,True,Fusarium verticillioides,Reported,"{""scenario"": ""orange"", ""threshold_ug_kg"": 4000.0}"
MOCK_034,PureGrain Mock Dataset 2024,Rye,Estonia,Europe,2018-06-15,2018,Fumonisins,10459.98,ug/kg,10459.98,True,Fusarium verticillioides,Reported,"{""scenario"": ""red"", ""threshold_ug_kg"": 4000.0}"
MOCK_035,PureGrain Mock Dataset 2024,Wheat,Romania,Europe,2021-06-15,2021,Zearalenone,42.89,ug/kg,42.89,True,Fusarium graminearum,Reported,"{""scenario"": ""orange"", ""threshold_ug_kg"": 100.0}"
MOCK_036,PureGrain Mock Dataset 2024,Wheat,Germany,Europe,2021-06-15,2021,Zearalenone,260.12,ug/kg,260.12,True,Fusarium graminearum,Reported,"{""scenario"": ""red"", ""threshold_ug_kg"": 100.0}"
MOCK_037,PureGrain Mock Dataset 2024,Maize,Italy,Europe,2018-06-15,2018,Deoxynivalenol,265.18,ug/kg,265.18,True,Fusarium culmorum,Reported,"{""scenario"": ""orange"", ""threshold_ug_kg"": 1250.0}"
MOCK_038,PureGrain Mock Dataset 2024,Barley,Hungary,Europe,2018-06-15,2018,Fumonisins,4603.08,ug/kg,4603.08,True,Fusarium verticillioides,Reported,"{""scenario"": ""red"", ""threshold_ug_kg"": 4000.0}"
MOCK_039,PureGrain Mock Dataset 2024,Wheat,Lithuania,Europe,2023-06-15,2023,Zearalenone,293.8,ug/kg,293.8,True,Fusarium graminearum,Reported,"{""scenario"": ""red"", ""threshold_ug_kg"": 100.0}"
MOCK_040,PureGrain Mock Dataset 2024,Maize,Czech Republic,Europe,2022-06-15,2022,Fumonisins,3166.88,ug/kg,3166.88,True,Fusarium verticillioides,Reported,"{""scenario"": ""orange"", ""threshold_ug_kg"": 4000.0}"
MOCK_041,PureGrain Mock Dataset 2024,Maize,Germany,Europe,2015-06-15,2015,Fumonisins,6121.62,ug/kg,6121.62,True,Fusarium verticillioides,Reported,"{""scenario"": ""red"", ""threshold_ug_kg"": 4000.0}"
MOCK_042,PureGrain Mock Dataset 2024,Barley,Greece,Europe,2023-06-15,2023,Fumonisins,1957.35,ug/kg,1957.35,True,Fusarium verticillioides,Reported,"{""scenario"": ""orange"", ""threshold_ug_kg"": 4000.0}"
MOCK_043,PureGrain Mock Dataset 2024,Barley,Romania,Europe,2015-06-15,2015,Deoxynivalenol,667.2,ug/kg,667.2,True,Fusarium culmorum,Reported,"{""scenario"": ""orange"", ""threshold_ug_kg"": 1250.0}"
MOCK_044,PureGrain Mock Dataset 2024,Wheat,Austria,Europe,2022-06-15,2022,Zearalenone,78.22,ug/kg,78.22,True,Fusarium graminearum,Reported,"{""scenario"": ""orange"", ""threshold_ug_kg"": 100.0}"
MOCK_045,PureGrain Mock Dataset 2024,Wheat,Hungary,Europe,2016-06-15,2016,Ochratoxin A,3.41,ug/kg,3.41,True,Aspergillus ochraceus,Reported,"{""scenario"": ""red"", ""threshold_ug_kg"": 3.0}"
MOCK_046,PureGrain Mock Dataset 2024,Maize,Spain,Europe,2016-06-15,2016,Fumonisins,8557.4,ug/kg,8557.4,True,Fusarium verticillioides,Reported,"{""scenario"": ""red"", ""threshold_ug_kg"": 4000.0}"
MOCK_047,PureGrain Mock Dataset 2024,Rye,Estonia,Europe,2016-06-15,2016,Zearalenone,56.69,ug/kg,56.69,True,Fusarium graminearum,Reported,"{""scenario"": ""orange"", ""threshold_ug_kg"": 100.0}"
