sample_id,source_dataset,crop_type,location_country,location_continent,timestamp,sample_year,toxin_name,toxin_value_raw,toxin_unit,toxin_value_standardized_ug_kg,toxin_detected,fungal_species,association_type,original_metadata,target_date,latitude,longitude,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR
MYCO_0,mycotoxins_clean.csv (Lithuania Cereal Monitoring),Tree nuts,Lithuania,Europe,2019-12-31,2019.0,Aflatoxins,,µg/kg,,False,Aspergillus flavus,Known Producer,"{""sample_point"": ""Importation"", ""analytical_method"": ""ELISA"", ""lod"": null, ""loq"": 1.0, ""original_id"": ""EDA8D3F41E0D7C315EC5A069A01940FF"", ""source_file"": ""OCC_CHEMMON2021_LT_2019.CSV""}",2019-11-11 14:24:00,55.268600000000006,22.3062,3.205,5.7225,1.2950000000000002,91.71000000000001,0.4825
MYCO_0,mycotoxins_clean.csv (Lithuania Cereal Monitoring),Tree nuts,Lithuania,Europe,2019-12-31,2019.0,Aflatoxins,,µg/kg,,False,Aspergillus parasiticus,Known Producer,"{""sample_point"": ""Importation"", ""analytical_method"": ""ELISA"", ""lod"": null, ""loq"": 1.0, ""original_id"": ""EDA8D3F41E0D7C315EC5A069A01940FF"", ""source_file"": ""OCC_CHEMMON2021_LT_2019.CSV""}",2019-11-19 09:36:00,55.1272,23.2694,4.398,6.459999999999999,2.398,92.53999999999999,0.744
MYCO_0,mycotoxins_clean.csv (Lithuania Cereal Monitoring),Tree nuts,Lithuania,Europe,2019-12-31,2019.0,Aflatoxins,,µg/kg,,False,Aspergillus nomius,Known Producer,"{""sample_point"": ""Importation"", ""analytical_method"": ""ELISA"", ""lod"": null, ""loq"": 1.0, ""original_id"": ""EDA8D3F41E0D7C315EC5A069A01940FF"", ""source_file"": ""OCC_CHEMMON2021_LT_2019.CSV""}",2019-11-07 14:24:00,55.1836,23.187,3.6659999999999995,6.478,1.182,92.96799999999999,1.2979999999999998
MYCO_1,mycotoxins_clean.csv (Lithuania Cereal Monitoring),Cereal grains (feed),Lithuania,Europe,2019-12-30,2019.0,Aflatoxins,,mg/kg,,False,Aspergillus flavus,Known Producer,"{""sample_point"": ""Exploitation agricole/Producteur primaire"", ""analytical_method"": ""ELISA"", ""lod"": null, ""loq"": 0.0012, ""original_id"": ""FFE1981F1CD69B57F3F7905F0361DFC9"", ""source_file"": ""OCC_CHEMMON2021_LT_2019.CSV""}",2019-11-19 19:12:00,55.2026,24.8244,3.476,5.694,1.254,90.19,3.4899999999999998
MYCO_1,mycotoxins_clean.csv (Lithuania Cereal Monitoring),Cereal grains (feed),Lithuania,Europe,2019-12-30,2019.0,Aflatoxins,,mg/kg,,False,Aspergillus parasiticus,Known Producer,"{""sample_point"": ""Exploitation agricole/Producteur primaire"", ""analytical_method"": ""ELISA"", ""lod"": null, ""loq"": 0.0012, ""original_id"": ""FFE1981F1CD69B57F3F7905F0361DFC9"", ""source_file"": ""OCC_CHEMMON2021_LT_2019.CSV""}",2019-11-21 09:36:00,55.7418,23.464,2.872,4.012,1.7060000000000002,90.9,1.036
MYCO_1,mycotoxins_clean.csv (Lithuania Cereal Monitoring),Cereal grains (feed),Lithuania,Europe,2019-12-30,2019.0,Aflatoxins,,mg/kg,,False,Aspergillus nomius,Known Producer,"{""sample_point"": ""Exploitation agricole/Producteur primaire"", ""analytical_method"": ""ELISA"", ""lod"": null, ""loq"": 0.0012, ""original_id"": ""FFE1981F1CD69B57F3F7905F0361DFC9"", ""source_file"": ""OCC_CHEMMON2021_LT_2019.CSV""}",2019-11-15 00:00:00,55.6312,23.0736,2.4274999999999998,4.075,0.6049999999999999,87.39750000000001,1.605
MYCO_2,mycotoxins_clean.csv (Lithuania Cereal Monitoring),Tree nuts,Lithuania,Europe,2019-12-31,2019.0,Aflatoxins,,µg/kg,,False,Aspergillus flavus,Known Producer,"{""sample_point"": ""Importation"", ""analytical_method"": ""ELISA"", ""lod"": null, ""loq"": 2.6, ""original_id"": ""DDE3BA627949A0609B4D83B53F67B498"", ""source_file"": ""OCC_CHEMMON2021_LT_2019.CSV""}",2019-11-20 14:24:00,55.653999999999996,22.3784,2.656,4.04,0.49000000000000005,91.326,4.839999999999999
MYCO_2,mycotoxins_clean.csv (Lithuania Cereal Monitoring),Tree nuts,Lithuania,Europe,2019-12-31,2019.0,Aflatoxins,,µg/kg,,False,Aspergillus parasiticus,Known Producer,"{""sample_point"": ""Importation"", ""analytical_method"": ""ELISA"", ""lod"": null, ""loq"": 2.6, ""original_id"": ""DDE3BA627949A0609B4D83B53F67B498"", ""source_file"": ""OCC_CHEMMON2021_LT_2019.CSV""}",2019-11-11 04:48:00,55.0068,22.930799999999998,6.34,8.64,4.0,93.616,4.426
MYCO_2,mycotoxins_clean.csv (Lithuania Cereal Monitoring),Tree nuts,Lithuania,Europe,2019-12-31,2019.0,Aflatoxins,,µg/kg,,False,Aspergillus nomius,Known Producer,"{""sample_point"": ""Importation"", ""analytical_method"": ""ELISA"", ""lod"": null, ""loq"": 2.6, ""original_id"": ""DDE3BA627949A0609B4D83B53F67B498"", ""source_file"": ""OCC_CHEMMON2021_LT_2019.CSV""}",2019-11-10 19:12:00,55.3172,23.1024,6.5575,8.37,4.0475,95.465,1.6675
MYCO_3,mycotoxins_clean.csv (Lithuania Cereal Monitoring),Cereal grains (feed),Lithuania,Europe,2019-12-30,2019.0,Ochratoxin A,,mg/kg,,False,Aspergillus ochraceus,Known Producer,"{""sample_point"": ""Exploitation agricole/Producteur primaire"", ""analytical_method"": ""ELISA"", ""lod"": null, ""loq"": 0.0022, ""original_id"": ""91EEE1F39C7AD47F40BAEF17410A6DA8"", ""source_file"": ""OCC_CHEMMON2021_LT_2019.CSV""}",2019-11-16 14:24:00,55.562400000000004,22.9966,3.732,5.682,1.866,87.952,0.372
MYCO_3,mycotoxins_clean.csv (Lithuania Cereal Monitoring),Cereal grains (feed),Lithuania,Europe,2019-12-30,2019.0,Ochratoxin A,,mg/kg,,False,Aspergillus carbonarius,Known Producer,"{""sample_point"": ""Exploitation agricole/Producteur primaire"", ""analytical_method"": ""ELISA"", ""lod"": null, ""loq"": 0.0022, ""original_id"": ""91EEE1F39C7AD47F40BAEF17410A6DA8"", ""source_file"": ""OCC_CHEMMON2021_LT_2019.CSV""}",2019-11-14 14:24:00,55.28680000000001,23.2896,2.8575,4.677499999999999,0.5650000000000001,91.8875,1.1249999999999998
MYCO_3,mycotoxins_clean.csv (Lithuania Cereal Monitoring),Cereal grains (feed),Lithuania,Europe,2019-12-30,2019.0,Ochratoxin A,,mg/kg,,False,Penicillium verrucosum,Known Producer,"{""sample_point"": ""Exploitation agricole/Producteur primaire"", ""analytical_method"": ""ELISA"", ""lod"": null, ""loq"": 0.0022, ""original_id"": ""91EEE1F39C7AD47F40BAEF17410A6DA8"", ""source_file"": ""OCC_CHEMMON2021_LT_2019.CSV""}",2019-11-09 19:12:00,55.5046,22.6402,5.92,7.781999999999999,4.176,94.77799999999999,2.164
MYCO_3,mycotoxins_clean.csv (Lithuania Cereal Monitoring),Cereal grains (feed),Lithuania,Europe,2019-12-30,2019.0,Ochratoxin A,,mg/kg,,False,Aspergillus niger,Known Producer,"{""sample_point"": ""Exploitation agricole/Producteur primaire"", ""analytical_method"": ""ELISA"", ""lod"": null, ""loq"": 0.0022, ""original_id"": ""91EEE1F39C7AD47F40BAEF17410A6DA8"", ""source_file"": ""OCC_CHEMMON2021_LT_2019.CSV""}",2019-11-17 19:12:00,55.3794,22.8052,2.494,4.5520000000000005,0.5720000000000001,90.024,2.0900000000000003
MYCO_4,mycotoxins_clean.csv (Lithuania Cereal Monitoring),Cereal grains (feed),Lithuania,Europe,2019-12-30,2019.0,Zéaralénone,,mg/kg,,False,Unknown Fungal Species,Known Producer,"{""sample_point"": ""Exploitation agricole/Producteur primaire"", ""analytical_method"": ""ELISA"", ""lod"": null, ""loq"": 0.0078, ""original_id"": ""7E9E339C6E9B304CFC5A21B637A342AD"", ""source_file"": ""OCC_CHEMMON2021_LT_2019.CSV""}",2019-11-10 14:24:00,55.64300000000001,23.424799999999998,5.134,6.9879999999999995,2.83,95.976,2.412
MYCO_5,mycotoxins_clean.csv (Lithuania Cereal Monitoring),Pistachio nut,Lithuania,Europe,2020-01-26,2020.0,Aflatoxins,,µg/kg,,False,Aspergillus flavus,Known Producer,"{""sample_point"": ""Point de vente au d\u00e9tail"", ""analytical_method"": ""ELISA"", ""lod"": null, ""loq"": 1.0, ""original_id"": ""7EE6747557E2D51EA72DEB79FA659AAB"", ""source_file"": ""OCC_CHEMMON2021_LT_2020.CSV""}",2019-12-08 00:00:00,55.01219999999999,23.2438,0.754,2.238,-1.6780000000000002,96.502,1.9620000000000002
MYCO_5,mycotoxins_clean.csv (Lithuania Cereal Monitoring),Pistachio nut,Lithuania,Europe,2020-01-26,2020.0,Aflatoxins,,µg/kg,,False,Aspergillus parasiticus,Known Producer,"{""sample_point"": ""Point de vente au d\u00e9tail"", ""analytical_method"": ""ELISA"", ""lod"": null, ""loq"": 1.0, ""original_id"": ""7EE6747557E2D51EA72DEB79FA659AAB"", ""source_file"": ""OCC_CHEMMON2021_LT_2020.CSV""}",2019-12-17 04:48:00,55.5566,22.9558,1.454,3.4539999999999997,-0.16000000000000014,94.89,1.6580000000000001
