sample_id,source_dataset,crop_type,location_country,location_continent,timestamp,sample_year,toxin_name,toxin_value_raw,toxin_unit,toxin_value_standardized_ug_kg,toxin_detected,fungal_species,association_type,original_metadata
SUPP_INC_0,Supplementary Material 1 (Included studies),Cowpeas (Vigna unguiculata),Unknown,Africa,2000s,2009.0,Aflatoxins,,ug/kg,,True,A. flavus,Reported,"{""reference"": ""Houssou et al. (2009)"", ""title"": ""Natural infection of cowpea (Vigna unguiculata (L.) Walp.) by toxigenic fungi and mycotoxin contamination in Benin, West Africa"", ""journal"": ""Journal of Stored Products Research"", ""highlights"": ""Natural infection during harvest and storage. Low contamination levels."", ""sample_no"": ""None"", ""detection_technique"": ""HPLC-fluorescence""}"
SUPP_INC_0,Supplementary Material 1 (Included studies),Cowpeas (Vigna unguiculata),Unknown,Africa,2000s,2009.0,Aflatoxins,,ug/kg,,True,Fusarium spp,Reported,"{""reference"": ""Houssou et al. (2009)"", ""title"": ""Natural infection of cowpea (Vigna unguiculata (L.) Walp.) by toxigenic fungi and mycotoxin contamination in Benin, West Africa"", ""journal"": ""Journal of Stored Products Research"", ""highlights"": ""Natural infection during harvest and storage. Low contamination levels."", ""sample_no"": ""None"", ""detection_technique"": ""HPLC-fluorescence""}"
SUPP_INC_0,Supplementary Material 1 (Included studies),Cowpeas (Vigna unguiculata),Unknown,Africa,2000s,2009.0,Fumonisins,,ug/kg,,True,A. flavus,Reported,"{""reference"": ""Houssou et al. (2009)"", ""title"": ""Natural infection of cowpea (Vigna unguiculata (L.) Walp.) by toxigenic fungi and mycotoxin contamination in Benin, West Africa"", ""journal"": ""Journal of Stored Products Research"", ""highlights"": ""Natural infection during harvest and storage. Low contamination levels."", ""sample_no"": ""None"", ""detection_technique"": ""HPLC-fluorescence""}"
SUPP_INC_0,Supplementary Material 1 (Included studies),Cowpeas (Vigna unguiculata),Unknown,Africa,2000s,2009.0,Fumonisins,,ug/kg,,True,Fusarium spp,Reported,"{""reference"": ""Houssou et al. (2009)"", ""title"": ""Natural infection of cowpea (Vigna unguiculata (L.) Walp.) by toxigenic fungi and mycotoxin contamination in Benin, West Africa"", ""journal"": ""Journal of Stored Products Research"", ""highlights"": ""Natural infection during harvest and storage. Low contamination levels."", ""sample_no"": ""None"", ""detection_technique"": ""HPLC-fluorescence""}"
SUPP_INC_1,Supplementary Material 1 (Included studies),Beans (Phaseolus vulgaris),Unknown,Africa,2010s,2019.0,Aflatoxins,,ug/kg,,True,Aspergillus flavus,Known Producer,"{""reference"": ""Ingenbleek et al. (2019)"", ""title"": ""Regional Sub-Saharan Africa total diet study in Benin, Cameroon, Mali and Nigeria reveals the presence of 164 mycotoxins and other secondary metabolites in foods"", ""journal"": ""Toxins"", ""highlights"": ""First multi-centric total diet study in Africa. Different groups of commonly consumed foods were analyzed. Beans were not as heavily contaminated as other food products. "", ""sample_no"": ""None"", ""detection_technique"": ""LC-MS/MS""}"
SUPP_INC_1,Supplementary Material 1 (Included studies),Beans (Phaseolus vulgaris),Unknown,Africa,2010s,2019.0,Aflatoxins,,ug/kg,,True,Aspergillus parasiticus,Known Producer,"{""reference"": ""Ingenbleek et al. (2019)"", ""title"": ""Regional Sub-Saharan Africa total diet study in Benin, Cameroon, Mali and Nigeria reveals the presence of 164 mycotoxins and other secondary metabolites in foods"", ""journal"": ""Toxins"", ""highlights"": ""First multi-centric total diet study in Africa. Different groups of commonly consumed foods were analyzed. Beans were not as heavily contaminated as other food products. "", ""sample_no"": ""None"", ""detection_technique"": ""LC-MS/MS""}"
SUPP_INC_1,Supplementary Material 1 (Included studies),Beans (Phaseolus vulgaris),Unknown,Africa,2010s,2019.0,Aflatoxins,,ug/kg,,True,Aspergillus nomius,Known Producer,"{""reference"": ""Ingenbleek et al. (2019)"", ""title"": ""Regional Sub-Saharan Africa total diet study in Benin, Cameroon, Mali and Nigeria reveals the presence of 164 mycotoxins and other secondary metabolites in foods"", ""journal"": ""Toxins"", ""highlights"": ""First multi-centric total diet study in Africa. Different groups of commonly consumed foods were analyzed. Beans were not as heavily contaminated as other food products. "", ""sample_no"": ""None"", ""detection_technique"": ""LC-MS/MS""}"
SUPP_INC_1,Supplementary Material 1 (Included studies),Beans (Phaseolus vulgaris),Unknown,Africa,2010s,2019.0,Ochratoxin A,,ug/kg,,True,Aspergillus ochraceus,Known Producer,"{""reference"": ""Ingenbleek et al. (2019)"", ""title"": ""Regional Sub-Saharan Africa total diet study in Benin, Cameroon, Mali and Nigeria reveals the presence of 164 mycotoxins and other secondary metabolites in foods"", ""journal"": ""Toxins"", ""highlights"": ""First multi-centric total diet study in Africa. Different groups of commonly consumed foods were analyzed. Beans were not as heavily contaminated as other food products. "", ""sample_no"": ""None"", ""detection_technique"": ""LC-MS/MS""}"
SUPP_INC_1,Supplementary Material 1 (Included studies),Beans (Phaseolus vulgaris),Unknown,Africa,2010s,2019.0,Ochratoxin A,,ug/kg,,True,Aspergillus carbonarius,Known Producer,"{""reference"": ""Ingenbleek et al. (2019)"", ""title"": ""Regional Sub-Saharan Africa total diet study in Benin, Cameroon, Mali and Nigeria reveals the presence of 164 mycotoxins and other secondary metabolites in foods"", ""journal"": ""Toxins"", ""highlights"": ""First multi-centric total diet study in Africa. Different groups of commonly consumed foods were analyzed. Beans were not as heavily contaminated as other food products. "", ""sample_no"": ""None"", ""detection_technique"": ""LC-MS/MS""}"
SUPP_INC_1,Supplementary Material 1 (Included studies),Beans (Phaseolus vulgaris),Unknown,Africa,2010s,2019.0,Ochratoxin A,,ug/kg,,True,Penicillium verrucosum,Known Producer,"{""reference"": ""Ingenbleek et al. (2019)"", ""title"": ""Regional Sub-Saharan Africa total diet study in Benin, Cameroon, Mali and Nigeria reveals the presence of 164 mycotoxins and other secondary metabolites in foods"", ""journal"": ""Toxins"", ""highlights"": ""First multi-centric total diet study in Africa. Different groups of commonly consumed foods were analyzed. Beans were not as heavily contaminated as other food products. "", ""sample_no"": ""None"", ""detection_technique"": ""LC-MS/MS""}"
SUPP_INC_1,Supplementary Material 1 (Included studies),Beans (Phaseolus vulgaris),Unknown,Africa,2010s,2019.0,Ochratoxin A,,ug/kg,,True,Aspergillus niger,Known Producer,"{""reference"": ""Ingenbleek et al. (2019)"", ""title"": ""Regional Sub-Saharan Africa total diet study in Benin, Cameroon, Mali and Nigeria reveals the presence of 164 mycotoxins and other secondary metabolites in foods"", ""journal"": ""Toxins"", ""highlights"": ""First multi-centric total diet study in Africa. Different groups of commonly consumed foods were analyzed. Beans were not as heavily contaminated as other food products. "", ""sample_no"": ""None"", ""detection_technique"": ""LC-MS/MS""}"
SUPP_INC_1,Supplementary Material 1 (Included studies),Beans (Phaseolus vulgaris),Unknown,Africa,2010s,2019.0,Fumonisins,,ug/kg,,True,Fusarium verticillioides,Known Producer,"{""reference"": ""Ingenbleek et al. (2019)"", ""title"": ""Regional Sub-Saharan Africa total diet study in Benin, Cameroon, Mali and Nigeria reveals the presence of 164 mycotoxins and other secondary metabolites in foods"", ""journal"": ""Toxins"", ""highlights"": ""First multi-centric total diet study in Africa. Different groups of commonly consumed foods were analyzed. Beans were not as heavily contaminated as other food products. "", ""sample_no"": ""None"", ""detection_technique"": ""LC-MS/MS""}"
SUPP_INC_1,Supplementary Material 1 (Included studies),Beans (Phaseolus vulgaris),Unknown,Africa,2010s,2019.0,Fumonisins,,ug/kg,,True,Fusarium proliferatum,Known Producer,"{""reference"": ""Ingenbleek et al. (2019)"", ""title"": ""Regional Sub-Saharan Africa total diet study in Benin, Cameroon, Mali and Nigeria reveals the presence of 164 mycotoxins and other secondary metabolites in foods"", ""journal"": ""Toxins"", ""highlights"": ""First multi-centric total diet study in Africa. Different groups of commonly consumed foods were analyzed. Beans were not as heavily contaminated as other food products. "", ""sample_no"": ""None"", ""detection_technique"": ""LC-MS/MS""}"
SUPP_INC_1,Supplementary Material 1 (Included studies),Beans (Phaseolus vulgaris),Unknown,Africa,2010s,2019.0,Sterigmatocystin,,ug/kg,,True,Aspergillus versicolor,Known Producer,"{""reference"": ""Ingenbleek et al. (2019)"", ""title"": ""Regional Sub-Saharan Africa total diet study in Benin, Cameroon, Mali and Nigeria reveals the presence of 164 mycotoxins and other secondary metabolites in foods"", ""journal"": ""Toxins"", ""highlights"": ""First multi-centric total diet study in Africa. Different groups of commonly consumed foods were analyzed. Beans were not as heavily contaminated as other food products. "", ""sample_no"": ""None"", ""detection_technique"": ""LC-MS/MS""}"
SUPP_INC_1,Supplementary Material 1 (Included studies),Beans (Phaseolus vulgaris),Unknown,Africa,2010s,2019.0,Sterigmatocystin,,ug/kg,,True,Aspergillus nidulans,Known Producer,"{""reference"": ""Ingenbleek et al. (2019)"", ""title"": ""Regional Sub-Saharan Africa total diet study in Benin, Cameroon, Mali and Nigeria reveals the presence of 164 mycotoxins and other secondary metabolites in foods"", ""journal"": ""Toxins"", ""highlights"": ""First multi-centric total diet study in Africa. Different groups of commonly consumed foods were analyzed. Beans were not as heavily contaminated as other food products. "", ""sample_no"": ""None"", ""detection_technique"": ""LC-MS/MS""}"
SUPP_INC_1,Supplementary Material 1 (Included studies),Beans (Phaseolus vulgaris),Unknown,Africa,2010s,2019.0,citrin (main mycotoxins found).,,ug/kg,,True,Unknown Fungal Species,Known Producer,"{""reference"": ""Ingenbleek et al. (2019)"", ""title"": ""Regional Sub-Saharan Africa total diet study in Benin, Cameroon, Mali and Nigeria reveals the presence of 164 mycotoxins and other secondary metabolites in foods"", ""journal"": ""Toxins"", ""highlights"": ""First multi-centric total diet study in Africa. Different groups of commonly consumed foods were analyzed. Beans were not as heavily contaminated as other food products. "", ""sample_no"": ""None"", ""detection_technique"": ""LC-MS/MS""}"
SUPP_INC_1,Supplementary Material 1 (Included studies),Beans (Phaseolus vulgaris),Unknown,Africa,2010s,2019.0,Mentioned in Fig. 1,,ug/kg,,True,Unknown Fungal Species,Known Producer,"{""reference"": ""Ingenbleek et al. (2019)"", ""title"": ""Regional Sub-Saharan Africa total diet study in Benin, Cameroon, Mali and Nigeria reveals the presence of 164 mycotoxins and other secondary metabolites in foods"", ""journal"": ""Toxins"", ""highlights"": ""First multi-centric total diet study in Africa. Different groups of commonly consumed foods were analyzed. Beans were not as heavily contaminated as other food products. "", ""sample_no"": ""None"", ""detection_technique"": ""LC-MS/MS""}"
SUPP_INC_2,Supplementary Material 1 (Included studies),Beans (Phaseolus vulgaris),Unknown,Africa,2010s,2018.0,Aflatoxins,6.6,ug/kg,6.6,True,Aspergillus flavus,Known Producer,"{""reference"": ""Udomkun et al. (2018)"", ""title"": ""Occurrence of aflatoxin in agricultural produce from local markets in Burundi and Eastern Democratic Republic of Congo"", ""journal"": ""Food Science and Nutrition"", ""highlights"": ""First report on the incidence of aflatoxins in food in these countries. All bean samples were contaminated. Although a few samples exceeded the tolerance limit, other commodities presented significantly higher concentrations."", ""sample_no"": ""None"", ""detection_technique"": ""Lateral flow immunochromatographic assay""}"
SUPP_INC_2,Supplementary Material 1 (Included studies),Beans (Phaseolus vulgaris),Unknown,Africa,2010s,2018.0,Aflatoxins,6.6,ug/kg,6.6,True,Aspergillus parasiticus,Known Producer,"{""reference"": ""Udomkun et al. (2018)"", ""title"": ""Occurrence of aflatoxin in agricultural produce from local markets in Burundi and Eastern Democratic Republic of Congo"", ""journal"": ""Food Science and Nutrition"", ""highlights"": ""First report on the incidence of aflatoxins in food in these countries. All bean samples were contaminated. Although a few samples exceeded the tolerance limit, other commodities presented significantly higher concentrations."", ""sample_no"": ""None"", ""detection_technique"": ""Lateral flow immunochromatographic assay""}"
SUPP_INC_2,Supplementary Material 1 (Included studies),Beans (Phaseolus vulgaris),Unknown,Africa,2010s,2018.0,Aflatoxins,6.6,ug/kg,6.6,True,Aspergillus nomius,Known Producer,"{""reference"": ""Udomkun et al. (2018)"", ""title"": ""Occurrence of aflatoxin in agricultural produce from local markets in Burundi and Eastern Democratic Republic of Congo"", ""journal"": ""Food Science and Nutrition"", ""highlights"": ""First report on the incidence of aflatoxins in food in these countries. All bean samples were contaminated. Although a few samples exceeded the tolerance limit, other commodities presented significantly higher concentrations."", ""sample_no"": ""None"", ""detection_technique"": ""Lateral flow immunochromatographic assay""}"
SUPP_INC_3,Supplementary Material 1 (Included studies),Beans (Phaseolus vulgaris),Unknown,Africa,2010s,2010.0,Fumonisins,2.4,ug/kg,2.4,True,Fusarium verticillioides,Known Producer,"{""reference"": ""Njobeh et al. (2010)"", ""title"": ""Simultaneous occurrence of mycotoxins in human food commodities from Cameroon"", ""journal"": ""Mycotoxin Research"", ""highlights"": ""Co-contamination with different mycotoxins was found in the samples."", ""sample_no"": ""None"", ""detection_technique"": ""HPLC - fluorescence, refractive index, photodiode array""}"
SUPP_INC_3,Supplementary Material 1 (Included studies),Beans (Phaseolus vulgaris),Unknown,Africa,2010s,2010.0,Fumonisins,2.4,ug/kg,2.4,True,Fusarium proliferatum,Known Producer,"{""reference"": ""Njobeh et al. (2010)"", ""title"": ""Simultaneous occurrence of mycotoxins in human food commodities from Cameroon"", ""journal"": ""Mycotoxin Research"", ""highlights"": ""Co-contamination with different mycotoxins was found in the samples."", ""sample_no"": ""None"", ""detection_technique"": ""HPLC - fluorescence, refractive index, photodiode array""}"
SUPP_INC_3,Supplementary Material 1 (Included studies),Beans (Phaseolus vulgaris),Unknown,Africa,2010s,2010.0,Zearalenone,2.4,ug/kg,2.4,True,Fusarium graminearum,Known Producer,"{""reference"": ""Njobeh et al. (2010)"", ""title"": ""Simultaneous occurrence of mycotoxins in human food commodities from Cameroon"", ""journal"": ""Mycotoxin Research"", ""highlights"": ""Co-contamination with different mycotoxins was found in the samples."", ""sample_no"": ""None"", ""detection_technique"": ""HPLC - fluorescence, refractive index, photodiode array""}"
SUPP_INC_3,Supplementary Material 1 (Included studies),Beans (Phaseolus vulgaris),Unknown,Africa,2010s,2010.0,Zearalenone,2.4,ug/kg,2.4,True,Fusarium culmorum,Known Producer,"{""reference"": ""Njobeh et al. (2010)"", ""title"": ""Simultaneous occurrence of mycotoxins in human food commodities from Cameroon"", ""journal"": ""Mycotoxin Research"", ""highlights"": ""Co-contamination with different mycotoxins was found in the samples."", ""sample_no"": ""None"", ""detection_technique"": ""HPLC - fluorescence, refractive index, photodiode array""}"
SUPP_INC_3,Supplementary Material 1 (Included studies),Beans (Phaseolus vulgaris),Unknown,Africa,2010s,2010.0,Zearalenone,2.4,ug/kg,2.4,True,Fusarium crookwellense,Known Producer,"{""reference"": ""Njobeh et al. (2010)"", ""title"": ""Simultaneous occurrence of mycotoxins in human food commodities from Cameroon"", ""journal"": ""Mycotoxin Research"", ""highlights"": ""Co-contamination with different mycotoxins was found in the samples."", ""sample_no"": ""None"", ""detection_technique"": ""HPLC - fluorescence, refractive index, photodiode array""}"
