origin_country_code,origin_country_label_fr,reporting_country_code,reporting_country_name,sample_country_code,sample_country_name,sample_date,sample_year,sample_month,sample_day,crop_group,product_name,sampling_point,param_name,zen_detected,zen_value_ug_kg,lod_ug_kg,loq_ug_kg,result_status,result_type,origin_matches_reporting_country,origin_matches_sample_country,sampling_strategy,program_type,sample_method,source_archive,source_file,resId_A,latitude,longitude,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,cloud_cover_mean
HU,Hongrie,HU,Hungary,HU,Hungary,2019-01-14,2019,1,14,maize,Maize grain (feed),Primary production,Zearalenone,no,,,25.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Selective sampling,Official (National) programme,,HU_latest_15333988_contaminants.zip,OCC_CHEMMON2020_HU_2019.ZIP/OCC_CHEMMON2020_HU_2019.CSV,9069292B3ADE889D55ED7DA3AF8D3D3B,46.814,20.877,2019-01-14,2.9104164,6.95,-0.4,73.46437,3.5,62.625
HU,Hongrie,HU,Hungary,HU,Hungary,2019-01-15,2019,1,15,maize,Maize grain (feed),Primary production,Zearalenone,no,,,25.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Selective sampling,Official (National) programme,,HU_latest_15333988_contaminants.zip,OCC_CHEMMON2020_HU_2019.ZIP/OCC_CHEMMON2020_HU_2019.CSV,189742E2E9B14EBD002A4E4E1BD0AC15,46.814,20.877,2019-01-15,0.45833334,3.0,-2.9,64.05091,0.0,62.458332
HU,Hongrie,HU,Hungary,HU,Hungary,2019-01-17,2019,1,17,maize,Maize grain (feed),Primary production,Zearalenone,no,,,25.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Selective sampling,Official (National) programme,,HU_latest_15333988_contaminants.zip,OCC_CHEMMON2020_HU_2019.ZIP/OCC_CHEMMON2020_HU_2019.CSV,F3F920B8B0E58666EEB1A87BE850C14E,46.814,20.877,2019-01-17,1.0,9.2,5.1041665,73.51337,0.0,55.208332
HU,Hongrie,HU,Hungary,HU,Hungary,2019-01-25,2019,1,25,maize,Maize grain (feed),Primary production,Zearalenone,no,,,25.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Selective sampling,Official (National) programme,,HU_latest_15333988_contaminants.zip,OCC_CHEMMON2020_HU_2019.ZIP/OCC_CHEMMON2020_HU_2019.CSV,0557DD2EA617C8CA0C6B194562C8AFF5,46.814,20.877,2019-01-25,-3.45,-0.05,-1.5250001,92.01737,0.8,99.5
HU,Hongrie,HU,Hungary,HU,Hungary,2019-01-29,2019,1,29,maize,Maize grain (feed),Primary production,Zearalenone,no,,,25.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Selective sampling,Official (National) programme,,HU_latest_15333988_contaminants.zip,OCC_CHEMMON2020_HU_2019.ZIP/OCC_CHEMMON2020_HU_2019.CSV,27FB44D254F63EABBAA2392F64D135C0,46.814,20.877,2019-01-29,-0.65,5.5,1.8416666,85.51953,0.1,78.375
DK,Danemark,DK,Denmark,DK,Denmark,2019-01-30,2019,1,30,barley,Barley grain (feed),Primary production,Zearalenone,yes,3.879350348,,1.4,quantified_positive,Numerical Value,yes,yes,Objective sampling,Official (National and EU) programme,According to Reg 152/2009,DK_latest_15402714_contaminants.zip,OCC_CHEMMON2020_DK_2019.ZIP/OCC_CHEMMON2020_DK_2019.CSV,1650144C77762ACF6E1634631C6AE68D,55.779,9.119,2019-01-30,-3.632158e-08,2.05,-2.35,84.54177,0.0,98.708336
HU,Hongrie,HU,Hungary,HU,Hungary,2019-01-30,2019,1,30,maize,Maize grain (feed),Primary production,Zearalenone,no,,,25.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Selective sampling,Official (National) programme,,HU_latest_15333988_contaminants.zip,OCC_CHEMMON2020_HU_2019.ZIP/OCC_CHEMMON2020_HU_2019.CSV,971A3C78B41CACC182D1D704D05CAAF8,46.814,20.877,2019-01-30,1.2708334,3.3,-0.9,93.41111,0.4,96.291664
HU,Hongrie,HU,Hungary,HU,Hungary,2019-02-04,2019,2,4,maize,Maize grain (feed),Primary production,Zearalenone,no,,,25.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Selective sampling,Official (National) programme,,HU_latest_15333988_contaminants.zip,OCC_CHEMMON2020_HU_2019.ZIP/OCC_CHEMMON2020_HU_2019.CSV,75AA550D9F4988D6B8905F3E9B50B146,46.814,20.877,2019-02-04,3.916667,6.7,1.05,80.91991,0.0,94.166664
HU,Hongrie,HU,Hungary,HU,Hungary,2019-02-04,2019,2,4,maize,Maize grain (feed),Primary production,Zearalenone,no,,,25.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Selective sampling,Official (National) programme,,HU_latest_15333988_contaminants.zip,OCC_CHEMMON2020_HU_2019.ZIP/OCC_CHEMMON2020_HU_2019.CSV,1F986DB4F84606D8FDFF919B5AF0D734,46.814,20.877,2019-02-04,3.916667,6.7,1.05,80.91991,0.0,94.166664
HU,Hongrie,HU,Hungary,HU,Hungary,2019-02-05,2019,2,5,maize,Maize grain (feed),Primary production,Zearalenone,no,,,25.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Selective sampling,Official (National) programme,,HU_latest_15333988_contaminants.zip,OCC_CHEMMON2020_HU_2019.ZIP/OCC_CHEMMON2020_HU_2019.CSV,C8321A044AEA4FDA7B5546B9AB719F74,46.814,20.877,2019-02-05,2.6687498,3.7,1.75,87.66244,4.7,98.666664
HU,Hongrie,HU,Hungary,HU,Hungary,2019-02-11,2019,2,11,maize,Maize grain (feed),Primary production,Zearalenone,no,,,25.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Selective sampling,Official (National) programme,,HU_latest_15333988_contaminants.zip,OCC_CHEMMON2020_HU_2019.ZIP/OCC_CHEMMON2020_HU_2019.CSV,7616A3C4B7AE07216A6FABE9A3F299B3,46.814,20.877,2019-02-11,3.7,7.6,5.7374997,79.602776,11.000001,99.041664
DK,Danemark,DK,Denmark,DK,Denmark,2019-02-12,2019,2,12,generic_cereal,Cereal grains and products derived thereof (feed),Primary production,Zearalenone,no,,,15.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Objective sampling,Official (National and EU) programme,According to Reg 152/2009,DK_latest_15402714_contaminants.zip,OCC_CHEMMON2020_DK_2019.ZIP/OCC_CHEMMON2020_DK_2019.CSV,7E31E0BFCA800250ED710BF63C2E42F3,55.779,9.119,2019-02-12,-1.1,6.2,3.05,79.865234,0.1,66.208336
DK,Danemark,DK,Denmark,DK,Denmark,2019-02-12,2019,2,12,wheat,Wheat grains (feed),Primary production,Zearalenone,no,,,15.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Objective sampling,Official (National and EU) programme,According to Reg 152/2009,DK_latest_15402714_contaminants.zip,OCC_CHEMMON2020_DK_2019.ZIP/OCC_CHEMMON2020_DK_2019.CSV,99F87EA5AEB3617EFF3A64299E909F47,55.779,9.119,2019-02-12,-1.1,6.2,3.05,79.865234,0.1,66.208336
HU,Hongrie,HU,Hungary,HU,Hungary,2019-02-14,2019,2,14,maize,Maize grain (feed),Primary production,Zearalenone,no,,,25.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Selective sampling,Official (National) programme,,HU_latest_15333988_contaminants.zip,OCC_CHEMMON2020_HU_2019.ZIP/OCC_CHEMMON2020_HU_2019.CSV,09B608C5B274DB9F4A41A63FF90A0273,46.814,20.877,2019-02-14,3.0145833,8.1,-1.6,84.78658,0.0,62.333332
CZ,Tchequie,CZ,Czechia,CZ,Czechia,2019-02-14,2019,2,14,wheat,Wheat grains (feed),Primary production,Zearalenone,no,,,20.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Objective sampling,Official (National) programme,,CZ_latest_15410924_contaminants.zip,OCC_CHEMMON2020_CZ_2019.ZIP/OCC_CHEMMON2020_CZ_2019.CSV,2B481F16AD865EE65D9E5553685412E1,49.765,15.05,2019-02-14,3.4708338,8.3,-0.1,72.62035,0.0,43.291668
HU,Hongrie,HU,Hungary,HU,Hungary,2019-02-20,2019,2,20,maize,Maize grain (feed),Primary production,Zearalenone,no,,,25.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Selective sampling,Official (National) programme,,HU_latest_15333988_contaminants.zip,OCC_CHEMMON2020_HU_2019.ZIP/OCC_CHEMMON2020_HU_2019.CSV,6C41BEA50878A652577FE350FAA18A46,46.814,20.877,2019-02-20,5.9458337,12.35,1.4,69.66212,0.0,12.375
CZ,Tchequie,CZ,Czechia,CZ,Czechia,2019-02-20,2019,2,20,barley,Barley grain (feed),Primary production,Zearalenone,no,,,20.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Objective sampling,Official (National) programme,,CZ_latest_15410924_contaminants.zip,OCC_CHEMMON2020_CZ_2019.ZIP/OCC_CHEMMON2020_CZ_2019.CSV,CD4F4D661B734AD9E74B94A279E30233,49.765,15.05,2019-02-20,2.935417,7.7,-0.55,81.02578,0.0,64.583336
DK,Danemark,DK,Denmark,DK,Denmark,2019-02-21,2019,2,21,maize,Maize silage (feed),Primary production,Zearalenone,no,,,1.4,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Objective sampling,Official (National and EU) programme,According to Reg 152/2009,DK_latest_15402714_contaminants.zip,OCC_CHEMMON2020_DK_2019.ZIP/OCC_CHEMMON2020_DK_2019.CSV,594937A6686025E613915BB76C863285,55.779,9.119,2019-02-21,6.7520843,7.8,3.95,96.29615,1.5000001,96.0
HU,Hongrie,HU,Hungary,HU,Hungary,2019-02-21,2019,2,21,maize,Maize grain (feed),Primary production,Zearalenone,no,,,25.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Selective sampling,Official (National) programme,,HU_latest_15333988_contaminants.zip,OCC_CHEMMON2020_HU_2019.ZIP/OCC_CHEMMON2020_HU_2019.CSV,7A5F431B6CE4B90246456254A003F962,46.814,20.877,2019-02-21,4.847916,10.75,-0.65,70.71445,0.5,70.375
SK,Slovaquie,CZ,Czechia,CZ,Czechia,2019-02-25,2019,2,25,maize,Maize grain (feed),Storage,Zearalenone,no,,,20.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),no,no,Objective sampling,Official (National) programme,,CZ_latest_15410924_contaminants.zip,OCC_CHEMMON2020_CZ_2019.ZIP/OCC_CHEMMON2020_CZ_2019.CSV,C093FD5067BFC75407E9A28B19B47584,48.053,17.37,2019-02-25,0.1,11.95,5.525,58.622982,0.0,69.875
